Sample,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,S,CL,H2O,CO2,SUM,CO2obsvol,CO2riker,CO2vbg,FO,TcCO2,TcMGO,Teqolv,Ti,OLV ADD,KD,Pglass,Dglass,Pobsvol,Dobsvol,VBvol riker,Priker,Driker,VBvol vbg,Pvbg,Dvbg,Tg,aMgO,Rmi,CR,Initial density,,Error Messages,,SIO2 1sig,TIO2 1sig,AL2O3 1sig,FE2O3 1sig,FEO 1sig,MNO 1sig,MGO 1sig,CAO 1sig,NA2O 1sig,K2O 1sig,P2O5 1sig,S 1sig,CL 1sig,H2O 1sig,CO2 1sig,CO2obsvol 1sig,CO2riker 1sig,CO2vbg 1sig,FO 1sig,TcCO2 1sig,TcMGO 1sig,Teqolv 1sig,Ti 1sig,OLV ADD 1sig,KD 1sig,Pglass 1sig,Dglass 1sig,Pobsvol 1sig,Dobsvol 1sig,VBvol riker 1sig,Priker 1sig,Driker 1sig,VBvol vbg 1sig,Pvbg 1sig,Dvbg 1sig,Tg 1sig,aMgO 1sig,Rmi 1sig,CR 1sig,Initial density 1sig,,SIO2norm100,TIO2norm100,AL2O3norm100,FE2O3norm100,FEOnorm100,MNOnorm100,MGOnorm100,CAOnorm100,NA2Onorm100,K2Onorm100,P2O5norm100,Snorm100,CLnorm100,H2Onorm100,CO2norm100,,SIO2normANHYD,TIO2normANHYD,AL2O3normANHYD,FE2O3normANHYD,FEOnormANHYD,MNOnormANHYD,MGOnormANHYD,CAOnormANHYD,NA2OnormANHYD,K2OnormANHYD,P2O5normANHYD,,SIO2normANHYD-FEOT,TIO2normANHYD-FEOT,AL2O3normANHYD-FEOT,FEOTnormANHYD-FEOT,MNOnormANHYD-FEOT,MGOnormANHYD-FEOT,CAOnormANHYD-FEOT,NA2OnormANHYD-FEOT,K2OnormANHYD-FEOT,P2O5normANHYD-FEOT
M-127-1,49.699215138012029,1.1711083600318504,16.543843476439921,2.2102525184136752,7.8950080623135852,0.18637137153552366,4.2971773145464924,7.9211682891347808,3.3806743601616489,0.79328893808120438,0.22375946559043081,1937.7371745544342,1113.421376325638,4.1559086799973421,294.85642925975907,98.812377472272473,0,294.85642925975907,948.14266569631104,73.41902884,857.2500777167407,951.1788638993006,1057.0560027708616,1060.7149143687031,-0.25000000000000006,0.35138703032957497,237.890625,9.222305576394099,0,0,0,237.890625,9.222305576394099,1.0742975797822452,368.203125,13.793448362090523,470.52202949797174,168.35745411544738,66.0,4.0,2460.9122282002509,,[],,2.483424233,0.058406767,0.825092228,,,0.009294912,0.219021767,0.395052963,0.168604602,0.039563753,0.011159571,96.6408975,55.5297398,0.207267915,14.70539469,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,50.296548276007243,1.1851838706749795,16.742683355718523,2.236817466550574,7.9898978895928154,0.18861136256722588,4.3488249392160556,8.0163725352702127,3.4213065677023029,0.80282345023406354,0.22644882282406317,1961.0267702527233,1126.803549118199,4.2058584018621783,298.40029842668048,,52.69108486048377,1.2416085406560906,17.539775187896968,2.3433086958703098,8.3702838894008433,0.19759084174414251,4.5558653977241041,8.3980189497549631,3.5841893901599424,0.84104456457200638,0.23722968173685111,,52.815036117463634,1.2445293182354242,17.581036004360332,10.503553971346703,0.19805565724882884,4.5665826802430391,8.4177745689022831,3.5926208882272253,0.84302304976036058,0.237787744212165
M-127-5,51.348210218859194,1.1365079405418028,17.508901707585462,2.0460593148751731,7.3303592048781345,0.19191749532280261,3.8215878928927811,7.4034835127006779,3.6191021721161425,0.85175349880615236,0.26190266112159177,1601.2770046145647,1148.5908414735522,4.1216664078312357,245.08470606011653,99.940947282745981,0,245.08470606011653,965.1761407781172,73.1753471,786.2837527614646,909.992953500957,1037.9470416071383,1043.8863245812149,-0.13999999999999999,0.3408473150793031,227.734375,8.852213053263316,0,0,0,227.734375,8.852213053263316,1.4115421819614069,372.34375,13.93348337084271,467.82704381507597,132.5438954236087,40.5,4.0,2449.1026382943046,,[],,2.566472347,0.056745555,0.874215052,,,0.009582392,0.193434062,0.369654067,0.18070086,0.042527838,0.013076734,79.9513575,57.3488514,0.205793766,12.23701764,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.378550649103225,1.1371794759223901,17.519247299158067,2.0472682824254251,7.3346905389435539,0.19203089478413987,3.8238459778463079,7.4078580541719878,3.6212406130964818,0.85225677959248336,0.2620574131448194,1602.2231609275657,1149.26951635153,4.124101802007643,245.22952075563171,,53.756622134073531,1.1898141659013632,18.330130866598637,2.1420267032647065,7.6741788701903531,0.20091910181509215,4.0008338252641762,7.7507329656043433,3.7888508109986185,0.89170373790127888,0.27418681838789349,,53.872194338288921,1.1923721660193198,18.36953910215566,9.6223180207664303,0.20135106094019922,4.0094352805924531,7.7673963878499901,3.7969965207230549,0.89362082573911439,0.27477629692486066
M-127-6,51.477747343909151,0.87766639373801014,16.665433123071153,1.6351727277529378,7.923899835454681,0.13127303333721949,4.2849132680954547,7.3624206582803549,3.4600429989633334,0.8188182105621068,0.25262505627021642,1742.6025522823409,1243.637799317527,3.3574684030192548,381.01038485970355,98.584206126099829,0,1895.5320103039971,1805.2130286404563,73.21933154,728.3000091855478,866.2021078120412,965.42368914782435,1119.2469088547246,7.789999999999878,0.35247347178433053,238.203125,9.232308077019255,0,0,1.7043251084620743,485.9375,17.824456114028507,1.6756273186031307,472.1875,17.35433858464616,478.0952744066193,56.09294486560404,20.5,4.0,2489.7151940334588,,[],,2.63225789,0.047362809,0.899341403,,,0.007084081,0.097439635,0.397309189,0.186719415,0.044187098,0.013632779,94.0386375,67.11226495,0.181184031,20.56102662,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,52.2170328967944,0.89027079308766777,16.904769818559238,1.6586558760349255,8.0376970580045644,0.13315828010960207,4.3464500415153609,7.4681543297747153,3.5097335921512269,0.83057747557935402,0.25625307155903021,1767.6285287050587,1261.4980108748657,3.4056858952890394,386.48217582880386,,54.249910930131875,0.92493021049590873,17.562894827130627,1.723229539228732,8.3506152167236465,0.13834230776446382,4.5156630802925548,7.7588994381109107,3.6463721548296677,0.86291295332331852,0.26622934196828946,,54.343700855770187,0.92652927552985442,17.59325842721011,9.9183759769503155,0.13858148077941257,4.5234699816726103,7.77231340670291,3.6526761831199912,0.86440479985978125,0.26668961240482714
M-127-7,51.58163438917736,1.2148739098964123,17.125493880835219,2.0874634720529905,7.3307328856486862,0.1837401218925617,3.8260640955113501,7.4569171162109642,3.5557600830430665,0.82082483372125459,0.263647827296903,1697.3536186053848,1167.8277004481672,4.0142040403556871,442.40289641561401,99.792115077189379,0,442.402896415614,1365.6115958459097,73.08795298,808.4839643022643,919.4586650974333,1049.0186209522906,1046.9962972396938,-0.7500000000000004,0.34269716652960958,257.96875,9.932483120780194,0,0,0,257.96875,9.932483120780194,1.0727653558221246,431.875,15.973993498374593,471.5424569929271,143.45492639438376,44.0,4.0,2464.2874220526455,,[],,2.573946806,0.060285651,0.849817855,,,0.00911773,0.203973735,0.370034368,0.176447373,0.040731765,0.013082988,84.22772625,57.95107795,0.199196723,21.95334528,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.689088210304867,1.2174047107396262,17.161169364522053,2.0918120338849757,7.3460041206445528,0.18412288561119122,3.8340344751204869,7.4724512156526846,3.5631673707814286,0.82253475947107146,0.26419705313688457,1700.8895114533636,1170.2604955760787,4.022566349305948,443.32450121276071,,54.042088187883849,1.2728236271155549,17.942383205355469,2.1870358778190138,7.6804102425100513,0.19250456075222297,4.0085680826256205,7.8126134849377031,3.7253705172065841,0.85997833484850505,0.27622387894542316,,54.160720827400546,1.2756177165296976,17.981770141542526,9.6695880594793078,0.19292714479600828,4.0173676503009279,7.8297636541913347,3.7335484124814191,0.86186615049758886,0.27683024278064189
M-127-10,54.968367116096097,1.0496012564448425,16.724738253605818,1.8907803549325473,6.4576762691466261,0.17641484541879945,3.0189857534137108,6.8529910803073308,4.4522429437152011,0.89510974894922368,0.25391592429827087,1483.5067605806021,1148.666615355274,3.9251303812087324,333.36872772153083,100.96250813790296,0,333.36872772153083,1046.2016962457319,72.60509803,787.7257550384721,901.7068461225919,1030.8827987225156,1013.4460536993698,-1.420000000000001,0.31463918242521494,228.515625,8.882220555138785,0,0,0,228.515625,8.882220555138785,1.0063214449463813,373.984375,13.99349837459365,461.36348945662735,122.55569934649296,36.5,4.0,2431.8119272108524,,[],,2.736753195,0.051739776,0.824440905,,,0.008696316,0.17556242,0.337816119,0.219471967,0.044124164,0.012516709,73.12901625,56.62317275,0.193488113,16.43331042,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,54.444335951931528,1.039595069301577,16.565295932190772,1.8727549362679885,6.3961131594771761,0.17473302582562372,2.9902047889798165,6.7876593071033344,4.4097982764393677,0.88657637915116827,0.25149526193569938,1469.3640123859695,1137.7160062092851,3.8877108479193727,330.19061617029973,,56.820238965375502,1.0849620852588628,17.288190900707455,1.9544803172231278,6.6752339213383802,0.18235822163981852,3.1206947002760841,7.0838667990307966,4.6022380009852348,0.92526579383579677,0.26247029432892138,,56.931681032373319,1.0870900315610454,17.322098391483792,8.4505088411037335,0.18271588252832641,3.1268153480276681,7.097760453348271,4.6112644134921972,0.92708052630551185,0.26298507977611679
M-131-3,50.472596992567894,1.0574634963069014,18.221259523327909,2.0666567355574705,7.4245022972962307,0.15988153585991416,4.1876631940461033,8.049138534515194,3.4569604938598055,0.6298251665038882,0.16410374073399511,2141.7247401884888,851.10007678677061,3.8127609334509969,438.03909046053525,100.0458990347699,0,438.03909046053525,1322.4619457674398,74.12643663,819.0915299769932,934.5691476954643,1050.7056321732871,1058.9641228097464,-0.060000000000000005,0.35095301461559164,244.7265625,9.46236559139785,0,0,0,244.7265625,9.46236559139785,0.98667513660341599,410.625,15.243810952738185,479.28968984803032,125.16445822528176,44.0,4.0,2480.0530560588022,,[],,2.523259284,0.052841356,0.910514709,,,0.007989266,0.210399589,0.402214733,0.172744007,0.031472307,0.008200249,107.0217938,42.52939473,0.190523323,21.88877418,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,50.449441186016706,1.0569783534449433,18.212899978034383,2.0657085952510914,7.4210960858234909,0.15980818544531147,4.1857419788798387,8.0454457525718261,3.4553745103118869,0.62953621545746619,0.16402845325720203,2140.7421602000445,850.70960928741295,3.81101171585845,437.83812698639383,,52.635905489872087,1.1027874919690737,19.00224183664546,2.1552358129863718,7.7427242605996138,0.16673422634340021,4.3671508350894577,8.394133062739277,3.6051294500225524,0.65682013438149744,0.17113739935119543,,52.749767591474672,1.105173044194081,19.043347526203654,9.7030511510696638,0.16709490617295486,4.3765978649727852,8.4122912690579508,3.6129280736409481,0.65824096907940077,0.17150760413387325
M-131-5,51.927001690442111,1.2210927577061224,17.21657436829237,1.9797602668818783,6.9722860300463667,0.14903515229714787,4.0339268279368472,7.4932724334929821,3.72425403151124,0.87399037638751575,0.23751406160625405,1645.3512797108717,1125.039047549863,3.797608269286997,200.3389430185334,99.923389192915735,0,200.3389430185334,703.74921696760828,75.27828442,821.3494238702345,930.2498213464852,1052.9914531419222,1048.5671367839043,-0.6800000000000004,0.33875604129203379,189.53125,7.491872968242061,0,0,0,189.53125,7.491872968242061,1.047792097116401,297.34375,11.342835708927232,474.99866330462328,136.11768556271696,45.0,4.0,2446.2490507156135,,[],,2.591717779,0.060637909,0.854953127,,,0.007400896,0.213550102,0.372106353,0.184941706,0.043401248,0.011794645,81.70604625,55.86800435,0.188584384,9.94857642,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.966813885976137,1.2220289639582143,17.229774237394434,1.981278140055559,6.9776316499687745,0.14914941686917282,4.0370196212508382,7.4990174913164696,3.7271094001035725,0.8746604608258014,0.23769616255479559,1646.6127630381877,1125.9016098601517,3.8005198782391139,200.49254197308272,,54.187312733345046,1.2742452478326602,17.9659881972979,2.0659365113762185,7.2757800619556336,0.15552244772248663,4.209518120686691,7.8194442877793779,3.8863656928812444,0.91203397672701336,0.24785272239575537,,54.299663997457245,1.2768872512308997,18.003238641787078,9.1537468765256733,0.15584490592751757,4.2182460803936008,7.8356570210940957,3.8944236325791621,0.91392497602241662,0.24836661698233223
M-131-6,51.723926873721737,1.1619042418629644,17.104468074834813,2.2662004651487697,7.872318648761639,0.19575206972739725,4.1043713422250923,7.4236242559665921,3.8625118544286323,0.81606239836078986,0.24533533239064517,1866.036243940335,1285.0558419186079,3.9822701748493485,349.28947932072526,101.10878388879635,0,349.28947932072526,1233.6111838835564,72.82841902,789.5237542055155,906.1373990538635,1063.9128633087646,1056.5158176029881,-1.1600000000000008,0.34677205068958822,232.421875,9.022255563890972,0,0,0,232.421875,9.022255563890972,1.2384241082863809,404.921875,15.053763440860216,469.94437627549337,160.26223854703636,38.0,4.0,2469.4320217377417,,[],,2.578553637,0.057426382,0.845377518,,,0.009674922,0.224657713,0.366907934,0.190902206,0.040333368,0.012125544,92.22766125,63.5130723,0.196821185,17.26341162,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.156709520519861,1.1491625130620451,16.916896254678544,2.2413487513025885,7.7859888587127521,0.19360540419781283,4.0593617926799022,7.3422149594157942,3.8201545957439103,0.8071132566071898,0.24264492456014028,1845.5728297480855,1270.9636022642362,3.938599616853482,345.4590846477675,,53.446797453403597,1.2006060720546368,17.674200239586831,2.341685261935337,8.13453745181085,0.20227236898210266,4.2410837123216769,7.6708975122381577,3.9911681347979475,0.8432445939576737,0.25350719891122553,,53.572439150164058,1.2034284335659202,17.715748407349768,10.265771951220012,0.20274786695125274,4.2510535698081577,7.6889301096066607,4.0005504955829787,0.84522687702451782,0.25410313872670215
M-132-2,51.803697759529541,1.0198212756298308,16.801595184211557,2.1961171984680532,7.7544873650475168,0.13627747521674566,4.0040508771616325,7.3174258963215024,3.894112396843052,0.83830248054668355,0.2640671035916029,1686.6464403835814,1179.6696723881184,3.9353378634998211,199.22035448509385,100.27184652279321,0,199.22035448509385,634.30009345369922,72.83469705,859.758294951774,954.1848886685729,1055.0719050374692,1051.2353657032554,-0.6100000000000003,0.34337348755549124,199.296875,7.84196049012253,0,0,0,199.296875,7.84196049012253,0.94131465855421792,293.203125,11.192798199549888,467.20688264801811,149.98281358081385,61.5,4.0,2446.7888443538714,,[],,2.586004814,0.05067991,0.834953494,,,0.006772295,0.210391632,0.363638705,0.193517503,0.041659353,0.013122787,83.81771625,58.62355945,0.195566198,9.90023442,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.663253002679895,1.0170564430545428,16.756044459989393,2.1901633156509637,7.7334642114971039,0.13590801400647176,3.9931955140084661,7.2975876580253738,3.8835550873772582,0.8360297627072476,0.26335119253197026,1682.0737812983057,1176.4714755900729,3.9246687878688493,198.68024913633982,,53.945352523334876,1.0619824569285323,17.49620228606031,2.2869084945219864,8.0750713295998775,0.14191142253363614,4.1695852889211613,7.6199409812946914,4.0551017610426019,0.87295935985492501,0.27498409590741107,,54.069192974367624,1.0644204127542543,17.536367703118778,10.156200969614204,0.14223720360190634,4.1791572594180852,7.6374338121656784,4.0644109157256487,0.87496338199586721,0.27561536723795388
M-132-3,48.419242846114855,0.93368378509158279,18.825155793553741,1.9361845487216043,6.8426304362108015,0.1468120295889799,4.341966232221659,9.2813555454606753,3.0097076510600966,0.61163554064667081,0.17807484154598413,2533.241505561688,965.19243160758435,4.376304095925307,610.0833782286694,99.313605077681743,0,610.0833782286694,1449.2266105981062,76.26889209,884.1421319249281,980.3974036038622,1048.659306145956,1047.3453748405252,-0.5800000000000003,0.35201155699568376,298.4375,11.382845711427857,0,0,0,298.4375,11.382845711427857,1.0007621366370616,426.484375,15.79394848712178,476.0694063746912,151.21905767220315,83.5,4.0,2463.9328805783475,,[],,2.417970662,0.046405042,0.935737928,,,0.007297554,0.227333909,0.461346323,0.149602884,0.030402435,0.008851527,125.919285,47.97661045,0.217531997,30.3252819,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,48.753887051267533,0.94013683660085456,18.955263761524879,1.9495662726241256,6.8899225145020049,0.14782670458306851,4.3719752483312151,9.3455026007775324,3.0305089103410801,0.61586279157649937,0.1793055859836086,2550.7497221354729,971.86325161857133,4.406550434356121,614.29990156078873,,51.222957415809084,0.98774871213037008,19.915225783761887,2.0482992475433184,7.2388527131681277,0.15531317504623546,4.5933876355899486,9.8187921148846105,3.1839846677126706,0.647052275313588,0.18838625904016595,,51.328253869751457,0.98977917741430887,19.956164510463456,9.1006781273477557,0.15563244451851807,4.602830031226814,9.8389761113552172,3.1905298246468061,0.64838238809002902,0.18877351518563554
